"cityid","cityprovid","cityname","createdby","createddate","updatedby","updateddate","isactive"
1101,11,KABUPATEN ACEH SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1102,11,KABUPATEN ACEH TENGGARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1103,11,KABUPATEN ACEH TIMUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1104,11,KABUPATEN ACEH TENGAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1105,11,KABUPATEN ACEH BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1106,11,KABUPATEN ACEH BESAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1107,11,KABUPATEN PIDIE,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1108,11,KABUPATEN ACEH UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1109,11,KABUPATEN SIMEULUE,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1110,11,KABUPATEN ACEH SINGKIL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1111,11,KABUPATEN BIREUEN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1112,11,KABUPATEN ACEH BARAT DAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1113,11,KABUPATEN GAYO LUES,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1114,11,KABUPATEN ACEH JAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1115,11,KABUPATEN NAGAN RAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1116,11,KABUPATEN ACEH TAMIANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1117,11,KABUPATEN BENER MERIAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1118,11,KABUPATEN PIDIE JAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1171,11,KOTA BANDA ACEH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1172,11,KOTA SABANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1173,11,KOTA LHOKSEUMAWE,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1174,11,KOTA LANGSA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1175,11,KOTA SUBULUSSALAM,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1201,12,KABUPATEN TAPANULI TENGAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1202,12,KABUPATEN TAPANULI UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1203,12,KABUPATEN TAPANULI SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1204,12,KABUPATEN NIAS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1205,12,KABUPATEN LANGKAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1206,12,KABUPATEN KARO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1207,12,KABUPATEN DELI SERDANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1208,12,KABUPATEN SIMALUNGUN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1209,12,KABUPATEN ASAHAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1210,12,KABUPATEN LABUHANBATU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1211,12,KABUPATEN DAIRI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1212,12,KABUPATEN TOBA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1213,12,KABUPATEN MANDAILING NATAL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1214,12,KABUPATEN NIAS SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1215,12,KABUPATEN PAKPAK BHARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1216,12,KABUPATEN HUMBANG HASUNDUTAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1217,12,KABUPATEN SAMOSIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1218,12,KABUPATEN SERDANG BEDAGAI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1219,12,KABUPATEN BATU BARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1220,12,KABUPATEN PADANG LAWAS UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1221,12,KABUPATEN PADANG LAWAS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1222,12,KABUPATEN LABUHANBATU SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1223,12,KABUPATEN LABUHANBATU UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1224,12,KABUPATEN NIAS UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1225,12,KABUPATEN NIAS BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1271,12,KOTA MEDAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1272,12,KOTA PEMATANGSIANTAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1273,12,KOTA SIBOLGA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1274,12,KOTA TANJUNG BALAI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1275,12,KOTA BINJAI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1276,12,KOTA TEBING TINGGI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1277,12,KOTA PADANGSIDIMPUAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1278,12,KOTA GUNUNGSITOLI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1301,13,KABUPATEN PESISIR SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1302,13,KABUPATEN SOLOK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1303,13,KABUPATEN SIJUNJUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1304,13,KABUPATEN TANAH DATAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1305,13,KABUPATEN PADANG PARIAMAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1306,13,KABUPATEN AGAM,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1307,13,KABUPATEN LIMA PULUH KOTA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1308,13,KABUPATEN PASAMAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1309,13,KABUPATEN KEPULAUAN MENTAWAI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1310,13,KABUPATEN DHARMASRAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1311,13,KABUPATEN SOLOK SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1312,13,KABUPATEN PASAMAN BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1371,13,KOTA PADANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1372,13,KOTA SOLOK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1373,13,KOTA SAWAHLUNTO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1374,13,KOTA PADANG PANJANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1375,13,KOTA BUKITTINGGI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1376,13,KOTA PAYAKUMBUH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1377,13,KOTA PARIAMAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1401,14,KABUPATEN KAMPAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1402,14,KABUPATEN INDRAGIRI HULU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1403,14,KABUPATEN BENGKALIS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1404,14,KABUPATEN INDRAGIRI HILIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1405,14,KABUPATEN PELALAWAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1406,14,KABUPATEN ROKAN HULU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1407,14,KABUPATEN ROKAN HILIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1408,14,KABUPATEN SIAK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1409,14,KABUPATEN KUANTAN SINGINGI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1410,14,KABUPATEN KEPULAUAN MERANTI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1471,14,KOTA PEKANBARU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1472,14,KOTA DUMAI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1501,15,KABUPATEN KERINCI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1502,15,KABUPATEN MERANGIN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1503,15,KABUPATEN SAROLANGUN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
