"provid","provcountryid","provname","createdby","createddate","updatedby","updateddate","isactive"
"11","1","ACEH","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"12","1","SUMATERA UTARA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"13","1","SUMATERA BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"14","1","RIAU","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"15","1","JAMBI","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"16","1","SUMATERA SELATAN","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"17","1","BENGKULU","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"18","1","LAMPUNG","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"19","1","KEPULAUAN BANGKA BELITUNG","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"21","1","KEPULAUAN RIAU","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"31","1","DKI JAKARTA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"32","1","JAWA BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"33","1","JAWA TENGAH","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"34","1","DAERAH ISTIMEWA YOGYAKARTA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"35","1","JAWA TIMUR","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"36","1","BANTEN","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"51","1","BALI","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"52","1","NUSA TENGGARA BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"53","1","NUSA TENGGARA TIMUR","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"61","1","KALIMANTAN BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"62","1","KALIMANTAN TENGAH","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"63","1","KALIMANTAN SELATAN","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"64","1","KALIMANTAN TIMUR","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"65","1","KALIMANTAN UTARA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"71","1","SULAWESI UTARA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"72","1","SULAWESI TENGAH","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"73","1","SULAWESI SELATAN","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"74","1","SULAWESI TENGGARA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"75","1","GORONTALO","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"76","1","SULAWESI BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"81","1","MALUKU","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"82","1","MALUKU UTARA","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"91","1","P A P U A","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
"92","1","PAPUA BARAT","1","2022-05-19 08:08:00","1","2022-05-19 08:08:00",1
