"subdistrictid","subdistrictcityid","subdistrictname","createdby","createddate","updatedby","updateddate","isactive"
110101,1101,Bakongan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110102,1101,Kluet Utara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110103,1101,Kluet Selatan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110104,1101,Labuhan Haji,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110105,1101,Meukek,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110106,1101,Samadua,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110107,1101,Sawang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110108,1101,Tapaktuan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110109,1101,Trumon,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110110,1101,Pasi Raja,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110111,1101,Labuhan Haji Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110112,1101,Labuhan Haji Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110113,1101,Kluet Tengah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110114,1101,Kluet Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110115,1101,Bakongan Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110116,1101,Trumon Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110117,1101,Kota Bahagia,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110118,1101,Trumon Tengah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110201,1102,Lawe Alas,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110202,1102,Lawe Sigala-Gala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110203,1102,Bambel,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110204,1102,Babussalam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110205,1102,Badar,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110206,1102,Babul Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110207,1102,Darul Hasanah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110208,1102,Lawe Bulan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110209,1102,Bukit Tusam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110210,1102,Semadam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110211,1102,Babul Rahmah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110212,1102,Ketambe,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110213,1102,Deleng Pokhkisen,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110214,1102,Lawe Sumur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110215,1102,Tanoh Alas,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110216,1102,Leuser,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110301,1103,Darul Aman,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110302,1103,Julok,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110303,1103,Idi Rayeuk,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110304,1103,Birem Bayeun,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110305,1103,Serbajadi,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110306,1103,Nurussalam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110307,1103,Peureulak,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110308,1103,Rantau Selamat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110309,1103,Simpang Ulim,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110310,1103,Rantau Peureulak,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110311,1103,Pante Bidari,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110312,1103,Madat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110313,1103,Indra Makmu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110314,1103,Idi Tunong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110315,1103,Banda Alam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110316,1103,Peudawa,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110317,1103,Peureulak Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110318,1103,Peureulak Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110319,1103,Sungai Raya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110320,1103,Simpang Jernih,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110321,1103,Darul Ihsan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110322,1103,Darul Falah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110323,1103,Idi Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110324,1103,Peunaron,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110401,1104,Linge,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110402,1104,Silih Nara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110403,1104,Bebesen,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110407,1104,Pegasing,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110408,1104,Bintang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110410,1104,Ketol,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110411,1104,Kebayakan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110412,1104,Kute Panang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110413,1104,Celala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110417,1104,Laut Tawar,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110418,1104,Atu Lintang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110419,1104,Jagong Jeget,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110420,1104,Bies,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110421,1104,Rusip Antara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110501,1105,Johan Pahwalan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110502,1105,Kaway XVI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110503,1105,Sungai Mas,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110504,1105,Woyla,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110505,1105,Samatiga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110506,1105,Bubon,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110507,1105,Arongan Lambalek,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110508,1105,Pante Ceureumen,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110509,1105,Meureubo,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110510,1105,Woyla Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110511,1105,Woyla Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110512,1105,Panton Reu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110601,1106,Lhoong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110602,1106,Lhoknga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110603,1106,Indrapuri,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110604,1106,Seulimeum,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110605,1106,Montasik,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110606,1106,Sukamakmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110607,1106,Darul Imarah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110608,1106,Peukan Bada,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110609,1106,Mesjid Raya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110610,1106,Ingin Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110611,1106,Kuta Baro,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110612,1106,Darussalam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110613,1106,Pulo Aceh,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110614,1106,Lembah Seulawah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110615,1106,Kota Jantho,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110616,1106,Kota Cot Glie,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110617,1106,Kuta Malaka,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110618,1106,Simpang Tiga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110619,1106,Darul Kamal,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110620,1106,Baitussalam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110621,1106,Krueng Barona Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110622,1106,Leupung,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110623,1106,Blang Bintang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110703,1107,Batee,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110704,1107,Delima,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110705,1107,Geumpang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110706,1107,Geulumpang Tiga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110707,1107,Indra Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110708,1107,Kembang Tanjong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
