"featid","featmenuid","feattitle","featslug","featuredesc","createdby","createddate","updatedby","updateddate","isactive"
1,1,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:47:55,,2022-09-29 13:47:55,t
2,2,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:48:24,,2022-09-29 13:48:24,t
3,3,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:51:25,,2022-09-29 13:51:25,t
4,4,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
5,4,Create,create,Users can Create Data,9,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
6,4,Read,read,Users can Read Data,9,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
7,4,Update,update,Users can Update Data,9,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
8,4,Delete,delete,Users can Delete Data,9,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
9,5,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:53:36,,2022-09-29 13:53:36,t
10,6,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:54:19,,2022-09-29 13:54:19,t
11,7,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
12,7,Create,create,Users can Create Data,9,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
13,7,Read,read,Users can Read Data,9,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
14,7,Update,update,Users can Update Data,9,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
15,7,Delete,delete,Users can Delete Data,9,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
16,8,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
17,8,Create,create,Users can Create Data,9,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
18,8,Read,read,Users can Read Data,9,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
19,8,Update,update,Users can Update Data,9,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
20,8,Delete,delete,Users can Delete Data,9,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
21,9,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:58:08,,2022-09-29 13:58:08,t
22,10,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
23,10,Create,create,Users can Create Data,9,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
24,10,Read,read,Users can Read Data,9,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
25,10,Update,update,Users can Update Data,9,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
26,10,Delete,delete,Users can Delete Data,9,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
27,11,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
28,11,Create,create,Users can Create Data,9,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
29,11,Read,read,Users can Read Data,9,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
30,11,Update,update,Users can Update Data,9,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
31,11,Delete,delete,Users can Delete Data,9,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
32,12,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 14:00:16,,2022-09-29 14:00:16,t
33,12,Read,read,Users can Read Data,9,2022-09-29 14:00:53,9,2022-09-29 14:00:53,t
34,13,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 14:01:48,,2022-09-29 14:01:48,t
35,13,Read,read,Users can Read Data,9,2022-09-29 14:02:09,9,2022-09-29 14:02:09,t
36,13,Update,update,Users can Update Data,9,2022-09-29 14:02:31,9,2022-09-29 14:02:31,t
37,13,Delete,delete,Users can Delete Data,9,2022-09-29 14:02:46,9,2022-09-29 14:02:46,t
38,14,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 14:05:11,,2022-09-29 14:05:11,t
39,14,Read,read,Users can Read Data,9,2022-09-29 14:05:35,9,2022-09-29 14:05:35,t
40,14,Update,update,Users can Update Data,9,2022-09-29 14:05:48,9,2022-09-29 14:05:48,t
41,15,Viewable,viewable,This Feature is Viewable by Users,9,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
42,15,Create,create,Users can Create Data,9,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
43,15,Read,read,Users can Read Data,9,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
44,15,Update,update,Users can Update Data,9,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
45,15,Delete,delete,Users can Delete Data,9,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
