"permisid","roleid","permismenuid","permisfeatid","hasaccess","createdby","createddate","updatedby","updateddate","isactive"
1,3,1,1,f,,2022-09-29 13:47:55,,2022-09-29 13:47:55,t
3,3,2,2,f,,2022-09-29 13:48:24,,2022-09-29 13:48:24,t
5,3,3,3,f,,2022-09-29 13:51:25,,2022-09-29 13:51:25,t
7,3,4,4,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
9,3,4,5,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
10,2,4,5,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
11,3,4,6,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
12,2,4,6,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
13,3,4,7,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
14,2,4,7,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
15,3,4,8,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
16,2,4,8,f,,2022-09-29 13:52:05,,2022-09-29 13:52:05,t
63,3,12,32,f,,2022-09-29 14:00:16,,2022-09-29 14:00:16,t
6,2,3,3,t,,2022-09-29 13:51:25,9,2022-09-29 14:07:48,t
18,2,5,9,t,,2022-09-29 13:53:36,9,2022-09-29 14:07:50,t
65,3,12,33,f,,2022-09-29 14:00:53,,2022-09-29 14:00:53,t
66,2,12,33,f,,2022-09-29 14:00:53,,2022-09-29 14:00:53,t
8,2,4,4,t,,2022-09-29 13:52:05,9,2022-09-29 14:07:48,t
4,2,2,2,t,,2022-09-29 13:48:24,9,2022-09-29 14:07:47,t
17,3,5,9,f,,2022-09-29 13:53:36,,2022-09-29 13:53:36,t
19,3,6,10,f,,2022-09-29 13:54:19,,2022-09-29 13:54:19,t
21,3,7,11,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
23,3,7,12,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
24,2,7,12,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
25,3,7,13,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
26,2,7,13,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
27,3,7,14,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
28,2,7,14,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
29,3,7,15,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
30,2,7,15,f,,2022-09-29 13:55:20,,2022-09-29 13:55:20,t
31,3,8,16,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
33,3,8,17,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
34,2,8,17,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
35,3,8,18,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
36,2,8,18,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
37,3,8,19,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
38,2,8,19,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
39,3,8,20,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
40,2,8,20,f,,2022-09-29 13:55:54,,2022-09-29 13:55:54,t
67,3,13,34,f,,2022-09-29 14:01:48,,2022-09-29 14:01:48,t
69,3,13,35,f,,2022-09-29 14:02:09,,2022-09-29 14:02:09,t
70,2,13,35,f,,2022-09-29 14:02:09,,2022-09-29 14:02:09,t
64,2,12,32,t,,2022-09-29 14:00:16,9,2022-09-29 14:07:58,t
22,2,7,11,t,,2022-09-29 13:55:20,9,2022-09-29 14:07:56,t
32,2,8,16,t,,2022-09-29 13:55:54,9,2022-09-29 14:07:55,t
68,2,13,34,t,,2022-09-29 14:01:48,9,2022-09-29 14:07:51,t
41,3,9,21,f,,2022-09-29 13:58:08,,2022-09-29 13:58:08,t
43,3,10,22,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
45,3,10,23,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
46,2,10,23,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
47,3,10,24,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
48,2,10,24,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
49,3,10,25,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
50,2,10,25,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
51,3,10,26,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
52,2,10,26,f,,2022-09-29 13:58:43,,2022-09-29 13:58:43,t
53,3,11,27,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
55,3,11,28,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
56,2,11,28,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
57,3,11,29,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
58,2,11,29,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
59,3,11,30,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
60,2,11,30,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
61,3,11,31,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
62,2,11,31,f,,2022-09-29 13:59:25,,2022-09-29 13:59:25,t
71,3,13,36,f,,2022-09-29 14:02:31,,2022-09-29 14:02:31,t
72,2,13,36,f,,2022-09-29 14:02:31,,2022-09-29 14:02:31,t
73,3,13,37,f,,2022-09-29 14:02:46,,2022-09-29 14:02:46,t
74,2,13,37,f,,2022-09-29 14:02:46,,2022-09-29 14:02:46,t
75,3,14,38,f,,2022-09-29 14:05:11,,2022-09-29 14:05:11,t
77,3,14,39,f,,2022-09-29 14:05:35,,2022-09-29 14:05:35,t
78,2,14,39,f,,2022-09-29 14:05:35,,2022-09-29 14:05:35,t
79,3,14,40,f,,2022-09-29 14:05:48,,2022-09-29 14:05:48,t
80,2,14,40,f,,2022-09-29 14:05:48,,2022-09-29 14:05:48,t
76,2,14,38,t,,2022-09-29 14:05:11,9,2022-09-29 14:07:53,t
20,2,6,10,t,,2022-09-29 13:54:19,9,2022-09-29 14:07:54,t
42,2,9,21,t,,2022-09-29 13:58:08,9,2022-09-29 14:07:58,t
44,2,10,22,t,,2022-09-29 13:58:43,9,2022-09-29 14:07:58,t
54,2,11,27,t,,2022-09-29 13:59:25,9,2022-09-29 14:07:59,t
81,3,15,41,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
83,3,15,42,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
84,2,15,42,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
85,3,15,43,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
86,2,15,43,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
87,3,15,44,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
88,2,15,44,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
89,3,15,45,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
90,2,15,45,f,,2022-09-29 14:07:32,,2022-09-29 14:07:32,t
2,2,1,1,t,,2022-09-29 13:47:55,9,2022-09-29 14:07:46,t
82,2,15,41,t,,2022-09-29 14:07:32,9,2022-09-29 14:07:50,t
